iter	RMSE
216	174362.2226
217	174276.5337
218	174037.4103
219	173801.1819
220	172937.2152
221	172866.3705
222	172038.1584
223	171926.2885
224	171632.3298
225	170871.9126
226	170756.6523
227	170496.7455
228	170277.459
229	170127.5941
230	169397.2087
231	169292.3379
232	168755.4977
233	168567.9157
234	168228.4286
235	168131.9045
236	167942.6205
237	167770.3272
238	167257.5455
239	167125.8274
240	166445.5807
241	165960.3832
242	165914.1927
243	165744.5503
244	165280.2444
245	165188.1273
246	165069.4745
247	164988.8723
248	164872.9056
249	164595.9005
250	164513.125
251	164291.8229
252	164130.262
253	164006.6193
254	163831.868
255	163717.8496
256	163432.2729
257	163338.5484
258	163259.9744
259	162975.0556
260	162830.2303
261	162714.4878
262	162512.7372
263	162378.7676
264	162226.817
265	161969.5832
266	161845.7661
267	161764.2091
268	161214.4893
269	161139.321
270	160998.9549
271	160865.815
272	160789.0181
273	160381.8079
274	160279.5217
275	159684.478
276	159541.1774
277	159447.786
278	159321.0446
279	158745.8718
280	158665.0563
281	158580.0717
282	158449.859
283	158365.0244
284	158258.8578
285	158158.1924
286	158098.4961
287	158023.0087
288	157965.0851
289	157910.438
290	157535.8466
291	157552.8302
292	157476.7051
293	157411.7125
294	157419.0813
295	157286.6813
296	156540.8553
297	156496.3642
298	155854.1951
299	155803.5476
300	155684.4649
301	155613.5564
302	155505.4759
303	155491.0999
304	154778.4983
305	154543.5528
306	154509.0368
307	154472.6942
308	154457.5704
309	154407.8187
310	154369.198
311	154331.3648
312	154246.613
313	154201.7126
314	154010.5462
315	153835.0226
316	153803.7183
317	153308.393
318	153268.5815
319	153175.1682
320	152950.0263
321	152491.0135
322	152162.2251
323	152047.0238
324	151878.7047
325	151838.7197
326	151814.0793
327	151588.0182
328	151524.5178
329	151423.5437
330	151338.6924
331	150643.2918
332	150599.8214
333	150543.9828
334	149595.6523
335	149497.7908
336	149440.6169
337	149220.627
338	149157.6616
339	148681.6093
340	148607.604
341	147854.0955
342	147760.7079
343	147732.3995
344	147677.43
345	147611.1808
346	147552.9236
347	147024.7868
348	146918.2069
349	146939.1519
350	146782.769
351	146800.7695
352	145945.6029
353	145931.4402
354	145849.2047
355	145680.7635
356	145587.3064
357	145092.5561
358	145016.5761
359	145022.9967
360	145000.7751
361	144857.8151
362	144861.9848
363	144782.3419
364	144678.0728
365	144015.2337
366	144002.8405
367	143317.5873
368	143295.4726
369	143262.2404
370	143289.5423
371	143213.1823
372	143120.671
373	143057.5074
374	143039.1903
375	142378.7084
376	142336.4315
377	142309.7644
378	142256.8279
379	142187.5715
380	142171.3091
381	141690.3027
382	141419.559
383	140955.0056
384	140856.8269
385	140850.6244
386	140401.4975
387	140392.5874
388	140294.6524
389	140237.5887
390	140228.4557
391	140212.4372
392	140179.3416
393	140160.0397
394	139500.3762
395	139411.2651
396	139399.5622
397	138783.2092
398	138798.5749
399	138373.4497
400	138246.9796
401	138264.2286
402	137853.8781
403	137814.4761
404	137163.3003
405	137109.345
406	137030.1064
407	136475.2708
408	136479.2906
409	136471.905
410	136452.532
411	136442.5694
412	136430.0128
413	136428.5833
414	136310.1703
415	136284.3988
416	136317.2087
417	136313.8972
418	136285.3034
419	136246.4301
420	136160.5889
421	136044.8833
422	135960.7182
423	135879.7302
424	135385.8619
425	134782.427
426	134802.529
427	134724.4782
428	134321.077
429	134255.9045
430	134257.8158
431	134097.3942
432	134048.3227
433	134043.1719
434	134013.4173
435	134038.6319
436	133979.5011
437	134010.9812
438	133937.9037
439	133840.2646
440	133707.7427
441	132996.8958
442	133016.3345
443	133021.2858
444	133014.6305
445	132485.6828
446	132484.6931
447	132415.1172
448	132431.7806
449	132322.6354
450	132297.7648
451	131786.1998
452	131178.19
453	130532.1009
454	130463.7602
455	130439.974
456	130478.0051
457	130497.6845
458	129916.7258
459	129916.3115
460	129902.6041
461	129897.2617
462	129878.1937
463	129874.9507
464	129774.3109
465	129754.3274
466	129688.6495
467	129693.7797
468	129672.5038
469	129535.5321
470	129567.4734
471	129573.4202
472	129581.5037
473	129528.0552
474	129505.4375
475	129536.659
476	129473.8058
477	129476.9276
478	129339.0225
479	128755.6705
480	128612.4133
481	127947.856
482	127932.9627
483	127372.2892
484	127374.0726
485	127380.644
486	127343.409
487	127360.0563
488	127336.2336
489	127385.9219
490	127329.2043
491	127238.4824
492	127240.6026
493	127076.967
494	126989.6315
495	126966.0152
496	126970.5121
497	127000.9376
498	126970.4649
499	126926.7563
500	126937.8081
501	126947.4722
502	126912.9089
503	126340.2507
504	126385.3853
505	126399.5943
506	126345.1545
507	126338.146
508	126323.4755
509	126372.3555
510	126334.9315
511	126293.0627
512	126000.5222
513	125319.2529
514	125238.2438
515	125235.2118
516	125200.5983
517	125230.5354
518	125250.6745
519	125300.328
520	125351.5763
521	125272.1355
522	125283.3446
523	125096.1079
524	124725.6797
525	124725.5694
526	124703.2941
527	124615.9445
528	124530.4996
529	124439.1597
530	124433.4021
531	124465.2927
532	124473.262
533	124502.1717
534	124479.8387
535	124515.7907
536	124502.9143
537	124455.3562
538	124376.8737
539	124005.0724
540	123977.0898
541	123981.7774
542	124002.3543
543	123644.0573
544	123672.7272
545	123650.5793
546	123698.093
547	123132.4199
548	123167.3609
549	123111.0947
550	123164.35
551	122620.794
552	122632.2602
553	122367.8828
554	122333.4858
555	122372.6178
556	122261.9608
557	122279.6003
558	121752.7895
559	121788.1736
560	121757.9321
561	121734.3389
562	121381.3395
563	121393.3964
564	121406.5389
565	121423.9964
566	120982.2182
567	120996.2193
568	120944.5959
569	120934.8604
570	120943.7665
571	120995.5313
572	120952.0937
573	120912.645
574	120921.9653
575	120831.5045
576	120823.7469
577	120873.6971
578	120833.6402
579	120826.6705
580	120830.6624
581	120475.8152
582	120394.7159
583	120246.4402
584	120175.283
585	120195.4564
586	120153.5316
587	120174.9789
588	120142.863
589	120191.7536
590	120128.2571
591	120047.816
592	119905.4934
593	119655.7967
594	119614.1132
595	119582.3664
596	119591.2711
597	119643.2528
598	119614.3571
599	119218.517
600	119232.2365
601	118708.3503
602	118752.8745
603	118778.0699
604	118749.9091
605	118724.6173
606	118664.0227
607	118550.9608
608	118527.0474
609	118193.6993
610	117873.3895
611	117891.4154
612	117915.3649
613	117968.7309
614	118015.5721
615	117988.3609
616	117875.5732
617	117840.7475
618	117851.3129
619	117907.2788
620	117852.0597
621	117680.5314
622	117708.4723
623	117722.4998
624	117729.7504
625	117752.6374
626	117783.669
627	117768.9694
628	117716.049
629	117718.7607
630	117654.3383
631	117604.9468
632	116775.4329
633	116752.6452
634	116718.8323
635	116694.1757
636	116696.7625
637	116727.3458
638	116713.0838
639	116746.4833
640	116677.0978
641	116716.0733
642	116745.0896
643	116807.9876
644	116817.8899
645	116820.7547
646	116851.2351
647	116871.3703
648	116928.0586
649	116961.6118
650	116921.1976
651	116486.9804
652	116502.7991
653	116484.9103
654	116454.1594
655	116399.3733
656	115978.5152
657	115965.5571
658	115942.835
659	115714.1248
660	115732.5012
661	115775.3723
662	115776.6955
663	115699.7899
664	115705.6418
665	115699.4301
666	115719.1384
667	115696.3369
668	115652.3933
669	115714.6228
670	115761.3998
671	115650.0655
672	115687.8473
673	115666.8041
674	115666.3745
675	115645.8141
676	115582.3177
677	115607.576
678	115452.112
679	115480.0878
680	115450.6886
681	115423.1068
682	115408.7715
683	115211.3842
684	115165.8949
685	115157.1586
686	115184.2628
687	115204.3171
688	115159.9817
689	114724.954
690	114744.3919
691	114774.1076
692	114782.5141
693	114773.3124
694	114745.8416
695	114793.451
696	114757.3687
697	114737.9914
698	114803.9439
699	114464.3441
700	114406.5277
701	114371.5838
702	114401.3123
703	114159.3941
704	114189.0499
705	113771.4747
706	113818.807
707	113860.7046
708	113857.1093
709	113899.2319
710	113838.3982
711	113775.7553
712	113805.3208
713	113481.4873
714	113509.0657
715	113538.0916
716	113482.7088
717	113412.8137
718	113445.2101
719	113371.7832
720	113355.1433
721	113037.3557
722	113059.0487
723	113000.0837
724	113047.9006
725	113086.5201
726	113125.2813
727	113094.8529
728	113073.1468
729	113117.9524
730	113181.1033
731	112756.4335
732	112807.6893
733	112796.6378
734	112856.2313
735	112905.5361
736	112929.7461
737	112940.9722
738	112895.583
739	112951.7215
740	112926.3706
741	112841.4667
742	112435.8863
743	112415.5077
744	112099.7652
745	112094.0057
746	112146.3635
747	112172.6418
748	112213.9883
749	112268.9202
750	112231.1264
751	112192.5959
752	112171.5368
753	112167.9279
754	111713.1434
755	111718.292
756	111687.5664
757	111635.8893
758	111550.5979
759	111618.4267
760	111642.3971
761	111063.7657
762	111101.3467
763	111034.9012
764	111054.9277
765	110996.4931
766	111045.0556
767	111093.6182
768	111098.7008
769	111106.315
770	111173.9123
771	111238.5451
772	111104.5888
773	111113.8327
774	111168.9278
775	111224.1882
776	111209.0251
777	111225.0194
778	111172.3825
779	111126.5074
780	111182.6127
781	111179.5405
782	111214.3414
783	111138.2323
784	111114.1198
785	111171.4183
786	111168.7427
787	110699.3769
788	110634.9267
789	110581.8775
790	110182.2693
791	110219.6241
792	110257.5738
793	110249.62
794	110308.0138
795	110344.7654
796	110340.9203
797	110412.2292
798	110459.7823
799	110059.1705
800	110090.1126
801	110133.0191
802	110153.7975
803	110123.2733
804	110175.9654
805	110214.8645
806	110198.653
807	110142.201
808	110108.3567
809	109288.4355
810	108793.2887
811	108832.8115
812	108885.4171
813	108933.3717
814	108887.3106
815	108922.6473
816	108942.7181
817	108919.0574
818	108854.6006
819	108841.1217
820	108903.3323
821	108964.6187
822	108979.0435
823	109046.7789
824	108729.997
825	108717.223
826	108731.5418
827	108767.3025
828	107982.7386
829	108055.8637
830	108000.9752
831	108077.5875
832	108042.9441
833	107949.6344
834	107992.2259
835	107977.2472
836	108042.1593
837	108072.2906
838	108041.8042
839	108049.1389
840	108011.261
841	107986.5907
842	108016.5889
843	107936.0344
844	107886.8361
845	107917.217
846	107868.4056
847	107938.1289
848	107910.3223
849	107956.8561
850	107898.8668
851	107947.0173
852	107919.2769
853	107467.6208
854	107438.6551
855	107475.157
856	107086.7992
857	107086.8871
858	107085.2123
859	107127.1961
860	107180.501
861	107221.3798
862	107225.6187
863	107206.8523
864	107205.9433
865	107206.6384
866	107231.2043
867	107308.8961
868	107366.4422
869	107292.9123
870	107327.4282
871	107381.3982
872	107426.8821
873	107495.5438
874	107478.5346
875	107408.988
876	107363.4512
877	107438.6076
878	107491.0358
879	107447.3623
880	107485.8322
881	107530.1963
882	107602.3971
883	107598.5796
884	107619.5311
885	107655.4903
886	107599.0844
887	107552.9781
888	107634.9226
889	107627.5732
890	107607.9067
891	107286.7594
892	107324.1612
893	107284.7285
894	107299.8897
895	107263.3949
896	107315.1098
897	107251.406
898	107193.4664
899	107188.0852
900	107262.0985
901	107316.467
902	107376.0288
903	107375.3895
904	107335.1103
905	107018.855
906	107082.4239
907	107114.9758
908	107128.0199
909	107001.0034
910	106389.6459
911	106447.7547
912	106436.7338
913	106373.6585
914	106453.4546
915	106409.1474
916	106479.815
917	106390.9191
918	106433.0684
919	106385.6455
920	106455.1141
921	106473.1542
922	106516.367
923	106560.2795
924	106613.3258
925	106666.2684
926	106546.5656
927	106556.3588
928	106549.4624
929	106601.5848
930	106519.4288
931	106461.2862
932	106523.0045
933	106483.6121
934	106565.517
935	106636.2153
936	106631.3168
937	106223.9641
938	106307.9787
939	105920.4406
940	105901.1526
941	105830.2918
942	105839.1942
943	105837.6682
944	105880.1746
945	105910.4096
946	105858.3125
947	105846.0101
948	105820.3357
949	105860.8351
950	105854.1356
951	105902.7329
952	105893.2274
953	105892.0408
954	105948.7125
955	105906.9626
956	105743.4528
957	105763.6827
958	105803.372
959	105784.3672
960	105837.6734
961	105881.4532
962	105751.9967
963	105830.0175
964	105768.7686
965	105774.5987
966	105366.5189
967	105046.0113
968	105115.3365
969	105070.9234
970	105067.1592
971	104850.2084
972	104752.3293
973	104733.8134
974	104353.2855
975	104387.1031
976	104435.9132
977	104453.7995
978	104153.3101
979	104131.3329
980	104101.6711
981	104116.117
982	104095.6108
983	104089.9932
984	104135.9669
985	104192.8501
986	104179.0972
987	104256.2999
988	104311.9207
989	104339.904
990	104304.8901
991	104232.7476
992	104235.949
993	104242.9653
994	104301.4062
995	104341.2735
996	104326.2479
997	104323.0144
998	104323.9333
999	104364.6712
